Category,Conformity,Aspirational,Identity,Cultural,Availability,PsychologyScore
Crop Tops,1.0,0.6409523809523809,1.0,0.9094919584532819,1.0,0.8607571271013256
Hoodies,0.6957642725598526,0.19795948434622465,0.8883793738489872,1.0,1.0,0.6209027624309393
Pants,1.0,0.14061253561253562,1.0,0.23143143001038302,0.6397326852976915,0.5659157362308295
Cargo Pants,1.0,0.14289800995024876,0.5499999999999998,0.8067961514894381,0.3663426488456865,0.549350858648287
Jackets,0.3794139744552968,0.25822689706987223,0.7617956423741548,0.24740267260065613,1.0,0.42470243695320886
T-Shirts,0.0,0.0,0.0,0.27297798077279983,0.0,0.04094669711591997
