Category,SocialFreq,Engagement,SocialScore,GoogleInterest,GoogleScore,AvgSales,Momentum,SalesScore,TrendScore
Hoodies,8283,24.844742243148616,4979.73789689726,52.49589041095891,40.047123287671226,2.3642578125,-1,1.0185546875,2004.2148621514552
Crop Tops,4177,24.84055542255207,2516.1362221690206,0.0,0.0,1.4832947403241812,-1,0.4899768441945087,1006.6014819208666
Cargo Pants,1904,25.10924369747899,1152.4436974789915,0.0,0.0,1.3415081366032546,-6,-1.5950951180380475,460.4989504561852
T-Shirts,0,0.0,0.0,32.33698630136986,22.3358904109589,1.4915478465382919,0,0.8949287079229751,6.969245735664562
Jackets,0,0.0,0.0,23.627397260273973,17.43917808219178,1.1619268717353453,1,1.097156123041207,5.560900261569897
Pants,0,0.0,0.0,21.397260273972602,15.57808219178082,0.7622965480236094,0,0.4573779288141656,4.810638036178496
