Date,UnitsSold,hashtag_count,avg_likes,InterestScore,weekday,month,lag_1,lag_7,lag_14,lag_30,rm_7,rm_30
2024-11-01,0.0,0,30.38888888888889,17.0,4,11,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,0.0,0,28.225806451612904,21.0,5,11,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03,0.0,0,32.9375,18.0,6,11,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,0.0,0,27.94736842105263,17.0,0,11,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05,4.0,0,26.75,21.0,1,11,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06,0.0,0,28.5625,24.0,2,11,4.0,0.0,0.0,0.0,0.8,0.8
2024-11-07,2.0,0,29.916666666666668,23.0,3,11,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
2024-11-08,0.0,0,27.692307692307693,24.0,4,11,2.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571
2024-11-09,0.0,0,28.666666666666668,20.0,5,11,0.0,0.0,0.0,0.0,0.8571428571428571,0.75
2024-11-10,0.0,0,29.545454545454547,18.0,6,11,0.0,0.0,0.0,0.0,0.8571428571428571,0.6666666666666666
2024-11-11,4.0,0,26.307692307692307,23.0,0,11,0.0,0.0,0.0,0.0,0.8571428571428571,0.6
2024-11-12,0.0,0,27.692307692307693,19.0,1,11,4.0,4.0,0.0,0.0,1.4285714285714286,0.9090909090909091
2024-11-13,0.0,0,28.5,19.0,2,11,0.0,0.0,0.0,0.0,0.8571428571428571,0.8333333333333334
2024-11-14,0.0,0,29.57894736842105,21.0,3,11,0.0,2.0,0.0,0.0,0.8571428571428571,0.7692307692307693
2024-11-15,1.0,0,28.55,24.0,4,11,0.0,0.0,0.0,0.0,0.5714285714285714,0.7142857142857143
2024-11-16,0.0,0,27.363636363636363,21.0,5,11,1.0,0.0,0.0,0.0,0.7142857142857143,0.7333333333333333
2024-11-17,0.0,0,27.34375,22.0,6,11,0.0,0.0,0.0,0.0,0.7142857142857143,0.6875
2024-11-18,1.0,0,25.555555555555557,24.0,0,11,0.0,4.0,0.0,0.0,0.7142857142857143,0.6470588235294118
2024-11-19,0.0,0,28.0,23.0,1,11,1.0,0.0,4.0,0.0,0.2857142857142857,0.6666666666666666
2024-11-20,2.0,0,28.058823529411764,22.0,2,11,0.0,0.0,0.0,0.0,0.2857142857142857,0.631578947368421
2024-11-21,0.0,0,29.846153846153847,17.0,3,11,2.0,0.0,2.0,0.0,0.5714285714285714,0.7
2024-11-22,0.0,0,27.285714285714285,20.0,4,11,0.0,1.0,0.0,0.0,0.5714285714285714,0.6666666666666666
2024-11-23,0.0,0,28.35,24.0,5,11,0.0,0.0,0.0,0.0,0.42857142857142855,0.6363636363636364
2024-11-24,2.0,0,27.37037037037037,20.0,6,11,0.0,0.0,0.0,0.0,0.42857142857142855,0.6086956521739131
2024-11-25,1.0,0,29.625,18.0,0,11,2.0,1.0,4.0,0.0,0.7142857142857143,0.6666666666666666
2024-11-26,0.0,0,27.266666666666666,19.0,1,11,1.0,0.0,0.0,0.0,0.7142857142857143,0.68
2024-11-27,0.0,0,27.833333333333332,24.0,2,11,0.0,2.0,0.0,0.0,0.7142857142857143,0.6538461538461539
2024-11-28,4.0,0,26.941176470588236,22.0,3,11,0.0,0.0,0.0,0.0,0.42857142857142855,0.6296296296296297
2024-11-29,0.0,0,28.055555555555557,19.0,4,11,4.0,0.0,1.0,0.0,1.0,0.75
2024-11-30,4.0,0,28.46153846153846,18.0,5,11,0.0,0.0,0.0,0.0,1.0,0.7241379310344828
2024-12-01,7.0,0,26.35483870967742,34.0,6,12,4.0,2.0,0.0,0.0,1.5714285714285714,0.8333333333333334
2024-12-02,14.0,0,25.142857142857142,34.0,0,12,7.0,1.0,1.0,0.0,2.2857142857142856,1.0666666666666667
2024-12-03,0.0,0,28.11111111111111,35.0,1,12,14.0,0.0,0.0,0.0,4.142857142857143,1.5333333333333334
2024-12-04,4.0,0,25.6,37.0,2,12,0.0,0.0,2.0,0.0,4.142857142857143,1.5333333333333334
2024-12-05,7.0,0,30.956521739130434,31.0,3,12,4.0,4.0,0.0,4.0,4.714285714285714,1.6666666666666667
2024-12-06,5.0,0,28.7,34.0,4,12,7.0,0.0,0.0,0.0,5.142857142857143,1.7666666666666666
2024-12-07,0.0,0,27.59090909090909,35.0,5,12,5.0,4.0,0.0,2.0,5.857142857142857,1.9333333333333333
2024-12-08,11.0,0,28.615384615384617,39.0,6,12,0.0,7.0,2.0,0.0,5.285714285714286,1.8666666666666667
2024-12-09,5.0,0,28.647058823529413,33.0,0,12,11.0,14.0,1.0,0.0,5.857142857142857,2.2333333333333334
2024-12-10,0.0,0,27.166666666666668,38.0,1,12,5.0,0.0,0.0,0.0,4.571428571428571,2.4
2024-12-11,0.0,0,29.5,36.0,2,12,0.0,4.0,0.0,4.0,4.571428571428571,2.4
2024-12-12,0.0,0,31.857142857142858,33.0,3,12,0.0,7.0,4.0,0.0,4.0,2.2666666666666666
2024-12-13,3.0,0,27.5,32.0,4,12,0.0,5.0,0.0,0.0,3.0,2.2666666666666666
2024-12-14,3.0,0,27.0,31.0,5,12,3.0,0.0,4.0,0.0,2.7142857142857144,2.3666666666666667
2024-12-15,4.0,0,28.11111111111111,35.0,6,12,3.0,11.0,7.0,1.0,3.142857142857143,2.466666666666667
2024-12-16,5.0,0,27.384615384615383,38.0,0,12,4.0,5.0,14.0,0.0,2.142857142857143,2.566666666666667
2024-12-17,6.0,0,26.666666666666668,38.0,1,12,5.0,0.0,0.0,0.0,2.142857142857143,2.7333333333333334
2024-12-18,0.0,0,25.157894736842106,36.0,2,12,6.0,0.0,4.0,1.0,3.0,2.933333333333333
2024-12-19,1.0,0,27.307692307692307,35.0,3,12,0.0,0.0,7.0,0.0,3.0,2.9
2024-12-20,13.0,0,26.642857142857142,38.0,4,12,1.0,3.0,5.0,2.0,3.142857142857143,2.933333333333333
2024-12-21,0.0,0,29.45,37.0,5,12,13.0,3.0,0.0,0.0,4.571428571428571,3.3
2024-12-22,0.0,0,26.8,31.0,6,12,0.0,4.0,11.0,0.0,4.142857142857143,3.3
2024-12-23,10.0,0,28.294117647058822,36.0,0,12,0.0,5.0,5.0,0.0,3.5714285714285716,3.3
2024-12-24,2.0,0,29.285714285714285,32.0,1,12,10.0,6.0,0.0,2.0,4.285714285714286,3.6333333333333333
2024-12-25,0.0,0,26.0,33.0,2,12,2.0,0.0,0.0,1.0,3.7142857142857144,3.6333333333333333
2024-12-26,4.0,0,28.7,38.0,3,12,0.0,1.0,0.0,0.0,3.7142857142857144,3.6
2024-12-27,0.0,0,29.142857142857142,33.0,4,12,4.0,13.0,3.0,0.0,4.142857142857143,3.7333333333333334
2024-12-28,1.0,0,29.20689655172414,34.0,5,12,0.0,0.0,3.0,4.0,2.2857142857142856,3.7333333333333334
2024-12-29,0.0,0,26.26923076923077,39.0,6,12,1.0,0.0,4.0,0.0,2.4285714285714284,3.6333333333333333
2024-12-30,0.0,0,27.045454545454547,33.0,0,12,0.0,10.0,5.0,4.0,2.4285714285714284,3.6333333333333333
2024-12-31,2.0,0,28.352941176470587,32.0,1,12,0.0,2.0,6.0,7.0,1.0,3.5
2025-01-01,16.0,0,27.2,32.0,2,1,2.0,0.0,0.0,14.0,1.0,3.3333333333333335
2025-01-02,6.0,0,28.0,37.0,3,1,16.0,4.0,1.0,0.0,3.2857142857142856,3.4
2025-01-03,13.0,0,30.6,38.0,4,1,6.0,0.0,13.0,4.0,3.5714285714285716,3.6
2025-01-04,2.0,0,28.565217391304348,33.0,5,1,13.0,1.0,0.0,7.0,5.428571428571429,3.9
2025-01-05,0.0,0,29.05263157894737,32.0,6,1,2.0,0.0,0.0,5.0,5.571428571428571,3.7333333333333334
2025-01-06,0.0,0,26.695652173913043,33.0,0,1,0.0,0.0,10.0,0.0,5.571428571428571,3.566666666666667
2025-01-07,3.0,0,30.157894736842106,36.0,1,1,0.0,2.0,2.0,11.0,5.571428571428571,3.566666666666667
2025-01-08,4.0,0,27.68421052631579,36.0,2,1,3.0,16.0,0.0,5.0,5.714285714285714,3.3
2025-01-09,10.0,0,29.285714285714285,36.0,3,1,4.0,6.0,4.0,0.0,4.0,3.2666666666666666
2025-01-10,6.0,0,26.208333333333332,34.0,4,1,10.0,13.0,0.0,0.0,4.571428571428571,3.6
2025-01-11,2.0,0,29.5,39.0,5,1,6.0,2.0,1.0,0.0,3.5714285714285716,3.8
2025-01-12,0.0,0,29.636363636363637,32.0,6,1,2.0,0.0,0.0,3.0,3.5714285714285716,3.8666666666666667
2025-01-13,2.0,0,30.736842105263158,32.0,0,1,0.0,0.0,0.0,3.0,3.5714285714285716,3.7666666666666666
2025-01-14,6.0,0,29.5,34.0,1,1,2.0,3.0,2.0,4.0,3.857142857142857,3.7333333333333334
2025-01-15,1.0,0,27.166666666666668,34.0,2,1,6.0,4.0,16.0,5.0,4.285714285714286,3.8
2025-01-16,3.0,0,28.23076923076923,34.0,3,1,1.0,10.0,6.0,6.0,3.857142857142857,3.6666666666666665
2025-01-17,6.0,0,28.454545454545453,36.0,4,1,3.0,6.0,13.0,0.0,2.857142857142857,3.566666666666667
2025-01-18,11.0,0,26.666666666666668,32.0,5,1,6.0,2.0,2.0,1.0,2.857142857142857,3.7666666666666666
2025-01-19,8.0,0,27.714285714285715,32.0,6,1,11.0,0.0,0.0,13.0,4.142857142857143,4.1
2025-01-20,3.0,0,30.454545454545453,38.0,0,1,8.0,2.0,0.0,0.0,5.285714285714286,3.933333333333333
2025-01-21,5.0,0,30.444444444444443,31.0,1,1,3.0,6.0,3.0,0.0,5.428571428571429,4.033333333333333
2025-01-22,0.0,0,29.043478260869566,39.0,2,1,5.0,1.0,4.0,10.0,5.285714285714286,4.2
2025-01-23,4.0,0,24.625,32.0,3,1,0.0,3.0,10.0,2.0,5.142857142857143,3.8666666666666667
2025-01-24,0.0,0,27.3,31.0,4,1,4.0,6.0,6.0,0.0,5.285714285714286,3.933333333333333
2025-01-25,5.0,0,29.0,32.0,5,1,0.0,11.0,2.0,4.0,4.428571428571429,3.933333333333333
2025-01-26,8.0,0,28.0,39.0,6,1,5.0,8.0,0.0,0.0,3.5714285714285716,3.966666666666667
2025-01-27,14.0,0,26.3,39.0,0,1,8.0,3.0,2.0,1.0,3.5714285714285716,4.233333333333333
2025-01-28,6.0,0,29.333333333333332,39.0,1,1,14.0,5.0,6.0,0.0,5.142857142857143,4.666666666666667
2025-01-29,7.0,0,28.714285714285715,31.0,2,1,6.0,0.0,1.0,0.0,5.285714285714286,4.866666666666666
2025-01-30,0.0,0,29.333333333333332,37.0,3,1,7.0,4.0,3.0,2.0,6.285714285714286,5.1
2025-01-31,0.0,0,28.25,35.0,4,1,0.0,0.0,6.0,16.0,5.714285714285714,5.033333333333333
2025-02-01,12.0,0,29.61111111111111,35.0,5,2,0.0,5.0,11.0,6.0,5.714285714285714,4.5
2025-02-02,5.0,0,27.8,33.0,6,2,12.0,8.0,8.0,13.0,6.714285714285714,4.7
2025-02-03,7.0,0,27.636363636363637,31.0,0,2,5.0,14.0,3.0,2.0,6.285714285714286,4.433333333333334
2025-02-04,4.0,0,27.666666666666668,39.0,1,2,7.0,6.0,5.0,0.0,5.285714285714286,4.6
2025-02-05,4.0,0,28.6,34.0,2,2,4.0,7.0,0.0,0.0,5.0,4.733333333333333
2025-02-06,9.0,0,29.238095238095237,31.0,3,2,4.0,0.0,4.0,3.0,4.571428571428571,4.866666666666666
2025-02-07,13.0,0,27.391304347826086,38.0,4,2,9.0,0.0,0.0,4.0,5.857142857142857,5.066666666666666
2025-02-08,4.0,0,27.357142857142858,37.0,5,2,13.0,12.0,5.0,10.0,7.714285714285714,5.366666666666666
2025-02-09,0.0,0,28.714285714285715,38.0,6,2,4.0,5.0,8.0,6.0,6.571428571428571,5.166666666666667
2025-02-10,0.0,0,26.0,31.0,0,2,0.0,7.0,14.0,2.0,5.857142857142857,4.966666666666667
2025-02-11,6.0,0,28.294117647058822,38.0,1,2,0.0,4.0,6.0,0.0,4.857142857142857,4.9
2025-02-12,7.0,0,27.833333333333332,31.0,2,2,6.0,4.0,7.0,2.0,5.142857142857143,5.1
2025-02-13,0.0,0,26.2,31.0,3,2,7.0,9.0,0.0,6.0,5.571428571428571,5.266666666666667
2025-02-14,5.0,0,25.333333333333332,32.0,4,2,0.0,13.0,0.0,1.0,4.285714285714286,5.066666666666666
2025-02-15,0.0,0,26.8,37.0,5,2,5.0,4.0,12.0,3.0,3.142857142857143,5.2
2025-02-16,4.0,0,28.0,34.0,6,2,0.0,0.0,5.0,6.0,2.5714285714285716,5.1
2025-02-17,3.0,0,27.857142857142858,36.0,0,2,4.0,0.0,7.0,11.0,3.142857142857143,5.033333333333333
2025-02-18,3.0,0,26.055555555555557,36.0,1,2,3.0,6.0,4.0,8.0,3.5714285714285716,4.766666666666667
2025-02-19,4.0,0,26.1,35.0,2,2,3.0,7.0,4.0,3.0,3.142857142857143,4.6
2025-02-20,0.0,0,27.0,38.0,3,2,4.0,0.0,9.0,5.0,2.7142857142857144,4.633333333333334
2025-02-21,7.0,0,28.210526315789473,35.0,4,2,0.0,5.0,13.0,0.0,2.7142857142857144,4.466666666666667
2025-02-22,0.0,0,28.6,33.0,5,2,7.0,0.0,4.0,4.0,3.0,4.7
2025-02-23,0.0,0,26.761904761904763,32.0,6,2,0.0,4.0,0.0,0.0,3.0,4.566666666666666
2025-02-24,0.0,0,29.0,36.0,0,2,0.0,3.0,0.0,5.0,2.4285714285714284,4.566666666666666
2025-02-25,0.0,0,27.352941176470587,36.0,1,2,0.0,3.0,6.0,8.0,2.0,4.4
2025-02-26,0.0,0,29.36842105263158,35.0,2,2,0.0,4.0,7.0,14.0,1.5714285714285714,4.133333333333334
2025-02-27,2.0,0,28.636363636363637,33.0,3,2,0.0,0.0,0.0,6.0,1.0,3.6666666666666665
2025-02-28,12.0,0,28.46153846153846,35.0,4,2,2.0,7.0,5.0,7.0,1.2857142857142858,3.533333333333333
2025-03-01,1.0,0,27.423076923076923,21.0,5,3,12.0,0.0,0.0,0.0,2.0,3.7
2025-03-02,0.0,0,28.88,24.0,6,3,1.0,0.0,4.0,0.0,2.142857142857143,3.7333333333333334
2025-03-03,1.0,0,29.1,16.0,0,3,0.0,0.0,3.0,12.0,2.142857142857143,3.7333333333333334
2025-03-04,2.0,0,28.153846153846153,19.0,1,3,1.0,0.0,3.0,5.0,2.2857142857142856,3.3666666666666667
2025-03-05,0.0,0,28.16,22.0,2,3,2.0,0.0,4.0,7.0,2.5714285714285716,3.2666666666666666
2025-03-06,0.0,0,28.77777777777778,17.0,3,3,0.0,2.0,0.0,4.0,2.5714285714285716,3.033333333333333
2025-03-07,3.0,0,28.25,23.0,4,3,0.0,12.0,7.0,4.0,2.2857142857142856,2.9
2025-03-08,1.0,0,27.555555555555557,17.0,5,3,3.0,1.0,0.0,9.0,1.0,2.8666666666666667
2025-03-09,0.0,0,29.785714285714285,17.0,6,3,1.0,0.0,0.0,13.0,1.0,2.6
2025-03-10,5.0,0,27.41176470588235,21.0,0,3,0.0,1.0,0.0,4.0,1.0,2.1666666666666665
2025-03-11,1.0,0,25.2,21.0,1,3,5.0,2.0,0.0,0.0,1.5714285714285714,2.2
2025-03-12,0.0,0,28.956521739130434,22.0,2,3,1.0,0.0,0.0,0.0,1.4285714285714286,2.2333333333333334
2025-03-13,0.0,0,29.6,18.0,3,3,0.0,0.0,2.0,6.0,1.4285714285714286,2.2333333333333334
2025-03-14,0.0,0,27.8,18.0,4,3,0.0,3.0,12.0,7.0,1.4285714285714286,2.033333333333333
2025-03-15,2.0,0,27.607142857142858,20.0,5,3,0.0,1.0,1.0,0.0,1.0,1.8
2025-03-16,0.0,0,28.666666666666668,19.0,6,3,2.0,0.0,0.0,5.0,1.1428571428571428,1.8666666666666667
2025-03-17,0.0,0,26.25,17.0,0,3,0.0,5.0,1.0,0.0,1.1428571428571428,1.7
2025-03-18,1.0,0,26.0,24.0,1,3,0.0,1.0,2.0,4.0,0.42857142857142855,1.7
2025-03-19,3.0,0,28.2,21.0,2,3,1.0,0.0,0.0,3.0,0.42857142857142855,1.6
2025-03-20,1.0,0,26.5625,16.0,3,3,3.0,0.0,0.0,3.0,0.8571428571428571,1.6
